scene,nl_cmd,nav_to_target,grasped_target_obj,nav_to_target_with_obj,place_obj_at_goal,complete_traj
FloorPlan_Train7_5,"Grab the vase off the brown table, then place it on the white table in the living room.",0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Take the basketball from beside the bed and place it next to the TV in the living room.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Pick up the basketball and place it on the table near the laptop.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Please pick up the vase from the table and place it on the bed.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Fetch the basketball by the bed and put it on the couch.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Go to the bedroom and grab the basketball from near the bed. Then bring it to the living room and place it on the couch.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Get the basketball from the bedroom and put it on the television table.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Get the basketball from the floor by the bed and put it in the blue bin.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,"Pick up the basketball next to the baseball, then place it on the chair near the lamp.",0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Get the basketball and place it in the can next to the laptop.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Pick up the basketball in the bedroom and then move to the waiting room and place the basketball on the light blue chair near the tall lamp.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Go to the bedroom and pick up the basketball and place it on the sofa in the living room.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Get the apple next to the laptop and place it next to the television.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Grab the cup on the coffee table and bring it to the laptop desk.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Take the ball from beside the bed and place it on the couch.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Take the basketball from beside the bed and place it beside the laptop on the table.,1,0.0,0,,0.0
FloorPlan_Train7_5,Grab the basketball next to the bed. Place it in the blue bin near the laptop.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Take the plate on the white table and bring it to the bedroom. Place it on the bed that’s beside the basketball.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Go into the bedroom and pick up the yellow vase. Then go into the living room and place the yellow vase on top of the white coffee table in front of the television.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,"Go into the bedroom and pick up the basketball beside the bed. Next, go into the living room and place the basketball on the white sofa.",0,0.0,0,0.0,0.0
FloorPlan_Train7_5,Take the basketball from the floor by the bed. Place the basketball in the bin across the painting of a river and mountains.,0,0.0,0,0.0,0.0
FloorPlan_Train7_5,"Pick up the alarm clock next to the lamp and place it on the table, next to the laptop.",0,0.0,0,0.0,0.0
