cmd,scene
Go to the table and pick up the salt and place it in the white bin in the living room.,FloorPlan_Train8_1
Go to the room with the desk in it at the end of the hall and pick up the spray. Bring it to the lounge and put it down on the TV stand.,FloorPlan_Train1_3
Pick up the teddy bear from the bed and move it to the nearby sofa.,FloorPlan_Train5_1
Go back to the bed and pick up the book and place it on the table next to the bed.,FloorPlan_Train5_1
Go to the white chair and pick up the bowl. Place it in the box in the living room.,FloorPlan_Train12_3
Pick up the vase from the brown table and place it in front of the plate on the white table close to the television.,FloorPlan_Train7_5
"Pick up the nearby alarm, take it to the living room and put it down on the table.",FloorPlan_Train7_5
Go pick up the vase. Take it to the living room and put it on the table.,FloorPlan_Train7_5
Take the remote on top of the brown desk and bring it to the room with the shelves that have a pot on the top. Put it on the bottom shelf.,FloorPlan_Train8_1
"Pick up the glass from the lounge, take it to the bedroom and put it down on the chest of drawers.",FloorPlan_Train7_5
Pick up the nearby clock and then move to the table in the central area and put it down.,FloorPlan_Train8_1
Pick up the cup from the white table near the television and place it on the brown table in between the laptop and the vase.,FloorPlan_Train7_5
Find the pepper and put it on top of the green chair with a blue pillow on it.,FloorPlan_Train8_1
Pick up the spray from the table and take it to the room with the laptop in it. Put the item down next to the PC.,FloorPlan_Train8_1
Grab the baseball bat and place it on the nightstand with an alarm on it.,FloorPlan_Train8_1
Pick up the apple next to the laptop and place it next to the pillow on the white sofa near the television.,FloorPlan_Train7_5
Pick up the nearby apple and take it to the room with the TV and put it down on the chest of drawers.,FloorPlan_Train12_3
Take the apple and go into the corridor with the TV. Place it inside the pot that is next to the TV.,FloorPlan_Train12_3
"Go to the bedroom, grab the book on the bed next to the laptop, bring the book into the living room with the grey couch and put the book on the coffee table.",FloorPlan_Train5_1
Find the yellow cup and bring it to me in the room with a plant next to chair that has books on it.,FloorPlan_Train12_3
Pick up the cup from the chest of drawers and take it to the central area and put it down on the large chair.,FloorPlan_Train12_3
Find the mug and put it in the green bin in the other room.,FloorPlan_Train12_3
Pick up the vase across from the yellow couch. Bring it into the bedroom and put it on the bed.,FloorPlan_Train5_1
Pick up the salt from the black table near the pepper and place it next to the apple on the brown table.,FloorPlan_Train8_1
"Run towards the newspaper in the living room, pick it up, and place it next to the pot.",FloorPlan_Train5_1
Go to the living room and take the basketball from the floor next to the couch and bring it to me in the bedroom.,FloorPlan_Train1_3
Pick up the tennis and place it on the chair.,FloorPlan_Train1_3
"Go into the room with the television, pick up the remote, bring the remote into the room with the bed and place the remote on the bed.",FloorPlan_Train7_5
Run to the bedroom and take the pillow on the bed in the bedroom and place it on the white sofa.,FloorPlan_Train1_3
"Pick up the plate, which is near the glass, and place it next to the laptop and the tennis racket on the white table.",FloorPlan_Train8_1
Go to the room with the desk with the apple on it and pick up the apple. Bring the apple into the bedroom and place the apple on the bed.,FloorPlan_Train7_5
Go towards the bed and take the teddy bear on the bed to the living room and place it on the sofa.,FloorPlan_Train5_1
Go to the living room and pick up the hand from the table and place it next to the laptop on the bed.,FloorPlan_Train5_1
"Go to the room with the tan couch, pick the pillow up and bring it into the room with the bed. Put the pillow on the bed.",FloorPlan_Train7_5
Pick up the mug and place it next to the TV.,FloorPlan_Train1_3
Collect the mug from the table where my laptop is situated and put it next to the cup in the entertainment room.,FloorPlan_Train7_5
Take the alarm clock on the drawers in the bedroom and place it on the table in the study.,FloorPlan_Train7_5
Pick up the basketball and place it on the small dark table in between the mug and the bottle.,FloorPlan_Train12_3
"Run to the study, pick up the mug from the table, and bring it to me in the living room.",FloorPlan_Train7_5
Pick up the book and place it on the bed.,FloorPlan_Train1_3
Go into the room with the round white table and pick up the tennis racket. Go into the central room with the brown desk and put the tennis racket on top.,FloorPlan_Train8_1
Take the basketball from beside the bed and place it next to the TV in the living room.,FloorPlan_Train7_5
Take the alarm clock from the table in the corridor and place it next to the plant on the table in the middle corridor.,FloorPlan_Train8_1
Go into the central room and pick up the apple on the brown table. Go into the room with the chair in front of the TV and put the apple on the chair.,FloorPlan_Train8_1
Pick up the bowl from the white chair next to the painting and place it next to the vase on the brown drawers.,FloorPlan_Train12_3
"Pick up the remote control next to the clock and bring it to me in the living room, place it on the chair.",FloorPlan_Train8_1
Pick up the spray and place it next to the TV.,FloorPlan_Train5_1
